COMMAND                               PID              USER   FD      TYPE         NODE NAME
systemd-journal                       226              root   44u     SOCK        38258 socket:[38258]
systemd-journal                       226              root   45u     SOCK       337343 socket:[337343]
systemd-journal                       226              root   46u     SOCK       338440 socket:[338440]
systemd-journal                       226              root   47u     SOCK        31516 socket:[31516]
systemd-journal                       226              root   53u     SOCK        27596 socket:[27596]
systemd-journal                       226              root   56u     SOCK       204915 socket:[204915]
systemd-journal                       226              root   57u     SOCK       204917 socket:[204917]
systemd-journal                       226              root   66u     SOCK        28189 socket:[28189]
systemd-journal                       226              root   67u      REG        16530 /var/log/journal/7bc08241232b46239b2465032fb365f3/user-1000.journal
systemd-journal                       226              root   68u     SOCK        32040 socket:[32040]
systemd-journal                       226              root   99u     SOCK        32041 socket:[32041]
