COMMAND	PID	USER	FD	TYPE	NODE	NAME
systemd-j	226	root	28u	unix	221718	/run/systemd/journal/stdout
systemd-j	226	root	29u	unix	21716	/run/systemd/journal/stdout
systemd-j	226	root	30u	unix	25170	/run/systemd/journal/stdout
systemd-j	226	root	31u	unix	22316	/run/systemd/journal/stdout
systemd-j	226	root	32u	unix	24643	/run/systemd/journal/stdout
systemd-j	226	root	33u	unix	23578	/run/systemd/journal/stdout
systemd-j	226	root	34u	unix	22486	/run/systemd/journal/stdout
systemd-j	226	root	35u	unix	22552	/run/systemd/journal/stdout
systemd-j	226	root	36u	unix	22588	/run/systemd/journal/stdout
systemd-j	226	root	37u	unix	22657	/run/systemd/journal/stdout
systemd-j	226	root	38u	unix	26654	/run/systemd/journal/stdout
systemd-j	226	root	39u	unix	22813	/run/systemd/journal/stdout
systemd-j	226	root	40u	unix	24303	/run/systemd/journal/stdout
systemd-j	226	root	41u	unix	31121	/run/systemd/journal/stdout
systemd-j	226	root	42u	unix	31122	/run/systemd/journal/stdout
systemd-j	226	root	43u	unix	38257	/run/systemd/journal/stdout
systemd-j	226	root	44u	unix	38258	/run/systemd/journal/stdout
systemd-j	226	root	47u	unix	31516	/run/systemd/journal/stdout
systemd-j	226	root	53u	unix	27596	/run/systemd/journal/stdout
systemd-j	226	root	56u	unix	204915	/run/systemd/journal/stdout
systemd-j	226	root	57u	unix	204917	/run/systemd/journal/stdout
systemd-j	226	root	66u	unix	28189	/run/systemd/journal/stdout
systemd-j	226	root	67u	REG	16530	/var/log/journal/7bc08241232b46239b2465032fb365f3/user-1000.journal
systemd-j	226	root	68u	unix	32040	/run/systemd/journal/stdout
systemd-j	226	root	99u	unix	32041	/run/systemd/journal/stdout
systemd-j	226	root	100u	unix	30158	/run/systemd/journal/stdout
systemd-j	226	root	101u	unix	32113	/run/systemd/journal/stdout
systemd-j	226	root	102u	unix	32170	/run/systemd/journal/stdout
systemd-j	226	root	103u	unix	32227	/run/systemd/journal/stdout
systemd-j	226	root	104u	unix	32348	/run/systemd/journal/stdout
systemd-j	226	root	105u	unix	32359	/run/systemd/journal/stdout
systemd-j	226	root	106u	unix	32360	/run/systemd/journal/stdout
systemd-j	226	root	107u	unix	32457	/run/systemd/journal/stdout
systemd-j	226	root	108u	unix	32459	/run/systemd/journal/stdout
systemd-j	226	root	109u	unix	32505	/run/systemd/journal/stdout
systemd-j	226	root	110u	unix	32556	/run/systemd/journal/stdout
systemd-j	226	root	111u	unix	32602	/run/systemd/journal/stdout
systemd-j	226	root	112u	unix	32640	/run/systemd/journal/stdout
systemd-j	226	root	113u	unix	32641	/run/systemd/journal/stdout
systemd-j	226	root	115u	unix	33467	/run/systemd/journal/stdout
systemd-j	226	root	116u	unix	33534	/run/systemd/journal/stdout
systemd-j	226	root	117u	unix	33785	/run/systemd/journal/stdout
systemd-j	226	root	118u	unix	34178	/run/systemd/journal/stdout
systemd-j	226	root	119u	unix	33990	/run/systemd/journal/stdout
systemd-j	226	root	120u	unix	34405	/run/systemd/journal/stdout
systemd-j	226	root	121u	unix	34406	/run/systemd/journal/stdout
